pmid,title,abstract,date,journal,publication_type,year,classification,qa_type,qa_question,qa_answer,qa_explanation
18842304,Do major depressive disorder and dysthymic disorder confer differential risk for suicide?,"Although there has been a tremendous amount of research examining the risk conferred for suicide by depression in general, relatively little research examines the risk conferred by specific forms of depressive illness (e.g., dysthymic disorder, single episode versus recurrent major depressive disorder [MDD]). The purpose of the current study was to examine differences in suicidal ideation, clinician-rated suicide risk, suicide attempts, and family history of suicide in a sample of outpatients diagnosed with various forms of depressive illness. To accomplish this aim, we conducted a cluster analysis using the aforementioned suicide-related variables in a sample of 494 outpatients seen between January 2001 and July 2007 at the Florida State University Psychology Clinic. Patients were diagnosed using DSM-IV criteria. Two distinct clusters emerged that were indicative of lower and higher risk for suicide. After controlling for the number of comorbid Axis I and Axis II diagnoses, the only depressive illness that significantly predicted cluster membership was recurrent MDD, which tripled an individual's likelihood of being assigned to the higher risk cluster. The use of a cross-sectional design; the relatively low suicide risk in our sample; the relatively small number of individuals with double depression. Our results demonstrate the importance of both chronicity and severity of depression in terms of predicting increased suicide risk. Among the various forms of depressive illness examined, only recurrent MDD appeared to confer greater risk for suicide.",2009-May,Journal of affective disorders,"Journal Article; Research Support, N.I.H., Extramural",2008,YES,sa,"Which specific depressive disorder significantly increases the likelihood of higher suicide risk, even after controlling for comorbid Axis I and Axis II diagnoses?",Recurrent major depressive disorder (MDD).,"The abstract states that recurrent MDD tripled the likelihood of being assigned to the higher suicide risk cluster, making it the only depressive illness significantly predictive of elevated suicide risk."
18661116,[Transcranial magnetic stimulation for comorbid depression in anorexia].,"A 24-year-old anorexic patient with cormobid symptoms of depression was treated for depression with repetitive transcranial magnetic stimulation (rTMS) rather than with psychopharmacotherapy, due to her poor physical condition. The depressive symptomatology significantly improved in correlation with two rTMS cycles but occurred again within 2 weeks. A third successful cycle was then followed by a maintenance rTMS protocol with the patient going into remission from depression. This case illustrates that rTMS may be considered as a therapeutic option for comorbid depression in anorectic patients.",2008-Sep,Der Nervenarzt,Case Reports; English Abstract; Journal Article,2008,YES,sa,"What treatment approach could be considered for a 24-year-old anorexic patient with comorbid depression when psychopharmacotherapy is contraindicated due to poor physical condition, and what strategy might prevent relapse?",Repetitive transcranial magnetic stimulation (rTMS) with a maintenance protocol to sustain remission.,"The abstract describes rTMS as effective for treating depression in an anorexic patient when medication was contraindicated. Relapse occurred after initial cycles, but remission was sustained with a maintenance rTMS protocol."
18710785,Association between physical illnesses and depressive symptoms requiring hospitalization in suicide victims.,"We examined an association between a history of hospital-treated depression and physical diseases in 1877 suicide victims from Northern Finland. Information on physical diseases and depression of victims was extracted from the Finnish Hospital Discharge Registers. Of suicide victims, 31% of female and 16% of male victims had a lifetime history of depression. When compared with victims without any lifetime hospital-treated physical illnesses, a history of depression was shown to associate with the diseases of the nervous, circulatory, respiratory, and musculoskeletal systems in the group of symptoms and signs, injuries and poisonings, and infectious diseases among male victims. Respectively, in female victims, an increased prevalence of depression was seen in endocrine, nutritional and metabolic diseases, diseases of the nervous, circulatory, genitourinary, skin and subcutaneous tissue, and musculoskeletal systems, and with injuries and poisonings, pregnancy-related problems and infectious diseases. This study is the first to evaluate comorbidity between physical illnesses and depression over the lifetime in suicide victims; earlier studies reported findings in living patients from epidemiological or clinical populations. Since depression can affect quality of life in severely ill patients, targeting depression in patients with chronic illness may assist in decreasing suicide rates.",2008-Sep-30,Psychiatry research,Journal Article,2008,YES,sa,"Which physical disease categories are associated with a lifetime history of depression in female suicide victims, and how might this differ from male suicide victims?","In females: endocrine, nervous, circulatory, genitourinary, skin, musculoskeletal, injuries/poisonings, pregnancy-related, and infectious diseases. In males: nervous, circulatory, respiratory, musculoskeletal, injuries/poisonings, and infectious diseases.","The abstract identifies gender-specific associations between depression and physical diseases, with females showing broader comorbidity patterns, including endocrine and pregnancy-related issues, while males have narrower associations."
18701169,Screening for bipolar disorder in a Spanish sample of outpatients with current major depressive episode.,"Bipolar spectrum disorders often go unrecognised and undiagnosed or misdiagnosed. One of the underlying reasons is the poor recognition of bipolar disorder among patients presenting depressive episodes. The specific aim of this study was to estimate the Mood Disorder Questionnaire (MDQ) rate of positive screens for bipolar disorder in a Spanish sample of outpatients with a current major depressive episode and compare it with their current psychiatric diagnosis. The study was designed to address this specific question. 971 consecutively outpatients with a current DSM-IV TR diagnosis of a major depressive episode entered this cross-sectional study. Study measures included sociodemographic and clinical data, Clinical Global Impression of Severity of Illness Scale (CGI-S), Hamilton Depression Scale (HAMD) and MDQ. 905 patients fulfilled criteria to be included in the analysis. All of them presented with a current major depressive episode. 74.3% (n=671) of the patients had received a diagnosis of unipolar depression and 25.7% (n=232) of bipolar disorder by a psychiatrist. Using a MDQ of 7-or-more-item threshold, the global positive screen rate for bipolar disorder was 41.3% (n=373). From the 671 patients with previous unipolar depression diagnosis, 161 (24%) screened positive for bipolar disorder with MDQ, whereas in 232 patients diagnosed of bipolar disorder, 212 (91.4%) screened positive for bipolar disorder. The MDQ showed a positive screen rate for bipolar disorder in 24% of patients with a previous diagnosis of unipolar disorder and a current major depressive episode. Screening tools like MDQ could contribute to increase detection of bipolar disorder in patients with depression. Early diagnosis of bipolar disorder may have important clinical and therapeutic implications in order to improve the illness course and the long-term functional outcome.",2009-Apr,Journal of affective disorders,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",2008,YES,sa,What percentage of patients with a prior diagnosis of unipolar depression and a current major depressive episode screened positive for bipolar disorder using the Mood Disorder Questionnaire (MDQ) at a 7-item threshold?,24%,The abstract states that 24% of patients with a previous unipolar depression diagnosis and a current major depressive episode screened positive for bipolar disorder using the MDQ at the specified threshold.
19341988,Light pressure massage for patients with severe anxiety.,"Generalised anxiety disorder (GAD) is common in the western world with a lifetime prevalence of 4.3 to 5.9% and is twice as common in women as in men. GAD can have a decisive impact on a patient's everyday life as it is surrounded by unfocused worries and the severe anxiety may interfere with normal social functions. The treatments include cognitive behavioural therapy and/or psychopharmacological drugs. In previous studies the positive effects of massage on anxiety have been shown. The present study described the experience of receiving massage for eight patients with GAD. Findings revealed that the patients were able to rediscover their own capacity during the massage period. This was illuminated by the experience of being relaxed in body and mind, the experience of unconditional attention, the experience of decreased anxiety and the experience of increased self-confidence. The paper ends with a discussion of clinical implications.",2009-May,Complementary therapies in clinical practice,"Clinical Trial; Journal Article; Research Support, Non-U.S. Gov't",2008,YES,sa,"What psychotherapeutic and psychopharmacological treatments are typically used for generalized anxiety disorder (GAD), and how might adjunctive therapies like massage contribute to symptom improvement?","Cognitive behavioral therapy and/or psychopharmacological drugs are standard treatments. Massage may reduce anxiety by promoting relaxation, providing unconditional attention, and enhancing self-confidence.","The abstract identifies CBT and pharmacotherapy as treatments for GAD. Massage was found to decrease anxiety, foster relaxation, and boost self-confidence, suggesting its role as a therapeutic adjunct."
19135130,Nortriptyline mediates behavioral effects without affecting hippocampal cytogenesis in a genetic rat depression model.,"A prevailing hypothesis is that neurogenesis is reduced in depression and that the common mechanism for antidepressant treatments is to increase it in adult hippocampus. Reduced neurogenesis has been shown in healthy rats exposed to stress, but it has not yet been demonstrated in depressed patients. Emerging studies now indicate that selective serotonin reuptake inhibitors can, exert behavioral effects without affecting neurogenesis in mice. Here we extend our previous findings demonstrating that the number of BrdU positive cells in hippocampus was significantly higher in a rat model of depression, the Flinders Sensitive Line (FSL) compared to the control strain the Flinders Resistant Line (FRL). We also show that chronic treatment with the tricyclic antidepressant nortriptyline exerts behavioral effects in the Porsolt forced swim test without affecting hippocampal cell proliferation in the FSL model. These results strengthen the arguments against hypothesis of neurogenesis being necessary in etiology of depression and as requisite for effects of antidepressants, and illustrate the importance of using a disease model and not healthy animals to assess effects of potential therapies for major depressive disorder.",2009-Feb-20,Neuroscience letters,"Journal Article; Research Support, Non-U.S. Gov't",2008,YES,sa,How does the Flinders Sensitive Line (FSL) rat model challenge the hypothesis that reduced neurogenesis is necessary for depression and antidepressant efficacy?,"The FSL model shows increased hippocampal neurogenesis despite depressive behavior, and nortriptyline improves behavior without affecting neurogenesis.","The abstract states that FSL rats exhibit higher hippocampal neurogenesis compared to controls, yet display depressive behaviors. Additionally, nortriptyline's behavioral effects occur without altering neurogenesis, contradicting the hypothesis that reduced neurogenesis is necessary for depression or antidepressant efficacy."
18844643,Postpartum physical symptoms in new mothers: their relationship to functional limitations and emotional well-being.,"Postpartum physical health problems are common and have been understudied. The purpose of this investigation was to explore the associations among reported physical symptoms, functional limitations, and emotional well-being of postpartum women. The study included data from interviews conducted at 9 to 12 months postpartum from 1,323 women who had received prenatal care at nine community health centers located in Philadelphia, Pennsylvania, United States, between February 2000 and November 2002. Emotional well-being was assessed with the Center for Epidemiological Studies Depression Scale and perceived emotional health. Functional limitations measures were related to child care, daily activities (housework and shopping), and employment. A summary measure of postpartum morbidity burden was constructed from a checklist of potential health problems typically associated with the postpartum period, such as backaches, abdominal pain, and dyspareunia. More than two-thirds (69%) of the women reported experiencing at least one physical health problem since childbirth. Forty-five percent reported at least one problem of moderate or major (as opposed to minor) severity and 20 percent reported at least one problem of major severity. The presence, severity, and cumulative morbidity burden associated with postpartum health problems were consistently correlated with reports of one or more functional limitations and measures of emotional well-being including depressive symptomatology. Although physical problems typically associated with the postpartum period are often regarded as transient or comparatively minor, they are strongly related both to women's functional impairment and to poor emotional health. Careful assessment of the physical, functional, and emotional health status of women in the year after childbirth may improve the quality of postpartum care.",2008-Sep,"Birth (Berkeley, Calif.)","Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, P.H.S.",2008,YES,sa,How can postpartum physical health problems contribute to the development or exacerbation of depressive symptoms in new mothers?,"Postpartum physical health problems can impair functional abilities (e.g., child care, daily tasks) and are strongly correlated with depressive symptomatology and poor emotional well-being.","The abstract highlights that postpartum physical health problems are associated with functional limitations and depressive symptoms. These physical issues, especially when severe, impair daily functioning and emotional health, increasing the risk for depression."
18986657,Using longitudinal data from a clinical trial in depression to assess the reliability of its outcome scales.,"Longitudinal studies are permeating clinical trials in psychiatry. Additionally, in the same field, rating scales are frequently used to evaluate the status of the patients and the efficacy of new therapeutic procedures. Therefore, it is of utmost importance to study the psychometric properties of these instruments within a longitudinal framework. In the area of depression, the Hamilton depression rating scale (HAMD) is regularly used for antidepressant treatment evaluation. However, the use of HAMD has not been exempted from criticism what has lead to the development of new scales that are expected to be more sensitive for change, such as the Montgomery-Asberg depression rating scale (MADRS). In general, the reliability of these scales has been extensively studied by using classical methods for reliability estimation, developed for specifically designed reliability studies. Unfortunately, the settings customarily considered in these reliability studies are usually far from the practical conditions in which these scales are applied in clinical trials and practice. In the present paper, we assess the reliability of these instruments in a more realistic scenario thereby using longitudinal data coming from clinical studies. Nowadays, newly developed methodology based on an extended concept of reliability, allows us to use longitudinal data for reliability estimation. This new approach not only enables to avoid bias by offering a better control of disturbing factors but it also produces more precise estimates by taking advantage of the large sample taking sizes available in clinical trials. Further, it offers practical guidelines for an optimal use of a rating scale in order to achieve a particular level of reliability. The merits of this new approach are illustrated by applying it on two clinical trials in depression to assess the reliability of the three outcome scales, HAMD, MADRS, and the Hamilton anxiety rating scale (HAMA).",2009-Apr,Journal of psychiatric research,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't; Validation Study",2008,YES,sa,What are the advantages of using longitudinal data to assess the reliability of depression and anxiety rating scales in clinical trials?,"Longitudinal data avoids bias, controls disturbing factors, provides precise estimates, and offers guidelines for optimal scale use.","The abstract highlights that longitudinal data improves reliability estimation by reducing bias, controlling confounders, leveraging larger sample sizes, and providing practical guidance for achieving reliability in clinical trials."
18395022,The anxiety- and pain-reducing effects of music interventions: a systematic review.,"Musical interventions have been used in health care settings to reduce patient pain, anxiety, and stress, although the exact mechanism of these therapies is not well understood. This article provides a systematic review of 42 randomized controlled trials of the effects of music interventions in perioperative settings. Music intervention had positive effects on reducing patients' anxiety and pain in approximately half of the reviewed studies. Further research into music therapy is warranted in light of the low cost of implementation and the potential ability of music to reduce perioperative patient distress.",2008-Apr,AORN journal,"Journal Article; Research Support, Non-U.S. Gov't; Review; Systematic Review",2008,YES,sa,How might music interventions be integrated into the treatment plan for a patient with anxiety in a perioperative setting?,"Music interventions can reduce perioperative anxiety and distress, offering a low-cost, non-invasive therapeutic option.","The abstract indicates that music interventions have shown positive effects in reducing anxiety in approximately half of the reviewed studies, making them a feasible adjunct therapy in perioperative care."
18433513,The use of artificial neural networks to study fatty acids in neuropsychiatric disorders.,"The range of the fatty acids has been largely investigated in the plasma and erythrocytes of patients suffering from neuropsychiatric disorders. In this paper we investigate, for the first time, whether the study of the platelet fatty acids from such patients may be facilitated by means of artificial neural networks. Venous blood samples were taken from 84 patients with a DSM-IV-TR diagnosis of major depressive disorder and from 60 normal control subjects without a history of clinical depression. Platelet levels of the following 11 fatty acids were analyzed using one-way analysis of variance: C14:0, C16:0, C16:1, C18:0, C18:1 n-9, C18:1 n-7, C18:2 n-6, C18:3 n-3, C20:3 n-3, C20:4 n-6 and C22:6 n-3. The results were then entered into a wide variety of different artificial neural networks. All the artificial neural networks tested gave essentially the same result. However, one type of artificial neural network, the self-organizing map, gave superior information by allowing the results to be described in a two-dimensional plane with potentially informative border areas. A series of repeated and independent self-organizing map simulations, with the input parameters being changed each time, led to the finding that the best discriminant map was that obtained by inclusion of just three fatty acids. Our results confirm that artificial neural networks may be used to analyze platelet fatty acids in neuropsychiatric disorder. Furthermore, they show that the self-organizing map, an unsupervised competitive-learning network algorithm which forms a nonlinear projection of a high-dimensional data manifold on a regular, low-dimensional grid, is an optimal type of artificial neural network to use for this task.",2008-Apr-17,BMC psychiatry,Journal Article,2008,YES,sa,"Which type of artificial neural network is most effective for analyzing platelet fatty acid levels to differentiate patients with major depressive disorder from controls, and why?","Self-organizing maps, because they allow for a two-dimensional representation with informative border areas.",The abstract states that self-organizing maps provided superior results by enabling a two-dimensional plane representation and identifying optimal discriminant maps using just three fatty acids.
